DeviceId,"Explanation.explanation","Explanation.durationMs"
"577403dc-3dda-4cfd-b285-43fa572147af","USER_COUNT_EXPLANATION_SHORT",5298
"16581c2c-329b-4c32-9d4d-5bc69fbf2215","USER_COUNT_EXPLANATION_SHORT",10042
"022d1f67-18c8-4d34-8940-0e4ea693b2ac","USER_COUNT_EXPLANATION_SHORT",13026
"59ebd090-d94a-426d-9c96-b08767bb5597","USER_COUNT_EXPLANATION_SHORT",5619
"59ebd090-d94a-426d-9c96-b08767bb5597","USER_COUNT_EXPLANATION_LONG",5606
"0203ad78-4b6c-4dda-ac11-528a19a1e649","USER_COUNT_EXPLANATION_SHORT",6512
"e4727f92-c32d-4106-8ea9-274d0a727d29","USER_COUNT_EXPLANATION_SHORT",8849
"e4727f92-c32d-4106-8ea9-274d0a727d29","USER_COUNT_EXPLANATION_LONG",8831
"30c031df-f874-4290-a188-89cf4c036077","USER_COUNT_EXPLANATION_SHORT",4954
"30c031df-f874-4290-a188-89cf4c036077","USER_COUNT_EXPLANATION_LONG",4952
"aacc7419-4d9a-491d-8d9f-bc3fe3e56ac0","USER_COUNT_EXPLANATION_SHORT",22711
"0d44e6f4-5ff8-489e-b795-d83f40c05235","USER_COUNT_EXPLANATION_SHORT",3679
"0d44e6f4-5ff8-489e-b795-d83f40c05235","USER_COUNT_EXPLANATION_LONG",3677
"0d44e6f4-5ff8-489e-b795-d83f40c05235","USER_COUNT_EXPLANATION_SHORT",5209
"6bd52386-fa7f-4465-91ae-5d638ed7161f","USER_COUNT_EXPLANATION_SHORT",10643
"6bd52386-fa7f-4465-91ae-5d638ed7161f","USER_COUNT_EXPLANATION_LONG",10640
"1c9d8a76-96ac-426e-90e0-fb7e39789f0a","USER_COUNT_EXPLANATION_SHORT",3646
"1be2c89a-61bb-4a3b-815a-665d56f60efe","USER_COUNT_EXPLANATION_SHORT",15567
"1be2c89a-61bb-4a3b-815a-665d56f60efe","USER_COUNT_EXPLANATION_SHORT",15567
"1be2c89a-61bb-4a3b-815a-665d56f60efe","USER_COUNT_EXPLANATION_LONG",15555
"1be2c89a-61bb-4a3b-815a-665d56f60efe","USER_COUNT_EXPLANATION_SHORT",11088
"1be2c89a-61bb-4a3b-815a-665d56f60efe","USER_COUNT_EXPLANATION_LONG",11076
"1be2c89a-61bb-4a3b-815a-665d56f60efe","USER_COUNT_EXPLANATION_LONG",11076
"be58c85f-0868-4b0e-b779-6b9113196579","USER_COUNT_EXPLANATION_SHORT",5546
"6bfbfda9-1903-4159-8f5d-130723a5bf73","USER_COUNT_EXPLANATION_SHORT",18106
"6bfbfda9-1903-4159-8f5d-130723a5bf73","USER_COUNT_EXPLANATION_LONG",18103
"0e1e43d9-0ee4-4a96-a86d-32e7704a5961","USER_COUNT_EXPLANATION_SHORT",13823
"0e1e43d9-0ee4-4a96-a86d-32e7704a5961","USER_COUNT_EXPLANATION_LONG",13795
"c4f79fbc-52a1-4bd9-9dad-93fa8cb2f22d","USER_COUNT_EXPLANATION_SHORT",1783
"c4f79fbc-52a1-4bd9-9dad-93fa8cb2f22d","USER_COUNT_EXPLANATION_SHORT",568
"ca72f5f5-a4eb-4810-8818-b34199d1f7a8","USER_COUNT_EXPLANATION_SHORT",11011
"6fa83f65-cc1d-4cf4-9a89-b9edf9512610","USER_COUNT_EXPLANATION_SHORT",4922
"6fa83f65-cc1d-4cf4-9a89-b9edf9512610","USER_COUNT_EXPLANATION_SHORT",4882
"b705ab39-19f3-4033-b8b4-85a6957fe2f5","USER_COUNT_EXPLANATION_SHORT",5482
"38f194ff-5c3a-4504-a3b6-8dee75b11ac4","USER_COUNT_EXPLANATION_SHORT",12305
"e45e2c86-e291-4fd4-a059-092815d3b090","USER_COUNT_EXPLANATION_SHORT",7807
"9f9c537c-fde7-49ec-8e79-e691c90f0d90","USER_COUNT_EXPLANATION_SHORT",10847
"b83c5c34-b1ab-4190-be52-99356caf0e64","USER_COUNT_EXPLANATION_SHORT",4674
"30d6f566-a311-41df-87fb-3174cb6050c8","USER_COUNT_EXPLANATION_SHORT",15976
"03185a1c-3278-4f35-8b82-016df85c89d8","USER_COUNT_EXPLANATION_SHORT",9004
"28b28ca6-6990-4e7b-bd0c-19650fd1a077","USER_COUNT_EXPLANATION_SHORT",1201
"28b28ca6-6990-4e7b-bd0c-19650fd1a077","USER_COUNT_EXPLANATION_SHORT",3997
"62aa8ae6-534f-49d9-bac5-9e02e2f0cca1","USER_COUNT_EXPLANATION_SHORT",2299
"62aa8ae6-534f-49d9-bac5-9e02e2f0cca1","USER_COUNT_EXPLANATION_SHORT",8095
"62aa8ae6-534f-49d9-bac5-9e02e2f0cca1","USER_COUNT_EXPLANATION_LONG",8077
"957bffb9-2b57-4f2a-86d9-8f7711bc6650","USER_COUNT_EXPLANATION_SHORT",2383
"7db46bae-e929-41b9-8e71-0162400a6f64","USER_COUNT_EXPLANATION_SHORT",2808
"7db46bae-e929-41b9-8e71-0162400a6f64","USER_COUNT_EXPLANATION_LONG",2786
"1cf16a59-fe26-4d4d-bf57-185ae995864f","USER_COUNT_EXPLANATION_SHORT",7347
